City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
566,swan hill,-35.3378,143.5544,16.29,45,19,3.86,AU,1722997735
567,port douglas,-16.4833,145.4667,23.71,69,91,3.02,AU,1722997860
568,dadukou,26.5479,101.7054,27.09,71,71,0.69,CN,1722997861
569,la libertad,-2.2333,-80.9,22.81,83,40,5.14,EC,1722997862
570,parvatsar,26.8833,74.7667,25.01,88,100,6.85,IN,1722997863
571,scottburgh,-30.2867,30.7532,14.88,74,0,2.28,ZA,1722997864
572,paita,-5.0892,-81.1144,17.55,80,1,6.91,PE,1722997865
573,curaca,-8.9903,-39.9094,21.39,73,95,7.85,BR,1722997866
574,machico,32.7,-16.7667,24.35,77,20,5.14,PT,1722997867
575,enriquillo,17.9,-71.2333,26.04,85,27,4.01,DO,1722997868
576,as saffaniyah,27.9708,48.73,33.73,23,16,4.55,SA,1722997870
577,prado,-17.3411,-39.2208,23.73,66,46,3.33,BR,1722997871
578,pierre,44.3683,-100.351,22.14,69,0,4.63,US,1722997872
579,albardon,-31.4372,-68.5256,9.06,63,94,3.66,AR,1722997807
580,castrop-rauxel,51.55,7.3167,21.03,82,53,2.07,DE,1722997874
581,fort mcmurray,56.7268,-111.381,20.77,52,100,3.6,CA,1722997875
582,puerto santa,-8.9906,-78.6456,16.64,86,63,5.15,PE,1722997876
583,holualoa,19.6228,-155.9522,24.91,85,75,2.06,US,1722997877
